9602.600: [GC 9602.601: [ParNew: 434852K->8729K(471872K), 0.0522020 secs] 2908291K->2492276K(11361088K), 0.0524460 secs] [Times: user=0.31 sys=0.04, real=0.05 secs] 
9603.878: [GC 9603.878: [ParNew: 428185K->2674K(471872K), 0.0330840 secs] 2911732K->2486221K(11361088K), 0.0332960 secs] [Times: user=0.34 sys=0.00, real=0.03 secs] 
9605.121: [GC 9605.121: [ParNew: 422130K->1224K(471872K), 0.0345990 secs] 2905677K->2484772K(11361088K), 0.0348170 secs] [Times: user=0.36 sys=0.00, real=0.04 secs] 
9606.381: [GC 9606.381: [ParNew: 420680K->876K(471872K), 0.0347110 secs] 2904228K->2484571K(11361088K), 0.0349310 secs] [Times: user=0.36 sys=0.01, real=0.04 secs] 
9607.642: [GC 9607.642: [ParNew: 420332K->641K(471872K), 0.0364000 secs] 2904027K->2484562K(11361088K), 0.0366200 secs] [Times: user=0.38 sys=0.00, real=0.04 secs] 
9608.892: [GC 9608.892: [ParNew: 420097K->220K(471872K), 0.0330890 secs] 2904018K->2484521K(11361088K), 0.0333100 secs] [Times: user=0.34 sys=0.01, real=0.03 secs] 
9610.161: [GC 9610.161: [ParNew: 419676K->280K(471872K), 0.0394510 secs] 2903977K->2484581K(11361088K), 0.0396900 secs] [Times: user=0.35 sys=0.00, real=0.04 secs] 
9611.460: [GC 9611.460: [ParNew: 419736K->717K(471872K), 0.0360760 secs] 2904037K->2485019K(11361088K), 0.0363160 secs] [Times: user=0.33 sys=0.00, real=0.04 secs] 
9612.601: [GC 9612.601: [ParNew: 420173K->786K(471872K), 0.0349870 secs] 2904475K->2485089K(11361088K), 0.0351930 secs] [Times: user=0.36 sys=0.01, real=0.04 secs] 
9614.016: [GC 9614.016: [ParNew: 420242K->907K(471872K), 0.0339450 secs] 2904545K->2485220K(11361088K), 0.0341500 secs] [Times: user=0.35 sys=0.00, real=0.03 secs] 
9615.252: [GC 9615.252: [ParNew: 420363K->932K(471872K), 0.0352820 secs] 2904676K->2485245K(11361088K), 0.0354730 secs] [Times: user=0.37 sys=0.00, real=0.04 secs] 
9616.490: [GC 9616.490: [ParNew: 420388K->851K(471872K), 0.0354530 secs] 2904701K->2485275K(11361088K), 0.0356920 secs] [Times: user=0.37 sys=0.01, real=0.03 secs] 
