86.836: [GC [PSYoungGen: 323727K->19502K(324416K)] 588406K->293554K(1023488K), 0.0518160 secs] [Times: user=0.12 sys=0.00, real=0.05 secs] 
87.253: [GC [PSYoungGen: 318318K->20686K(323904K)] 592370K->300392K(1022976K), 0.0503250 secs] [Times: user=0.11 sys=0.00, real=0.05 secs] 
87.757: [GC [PSYoungGen: 319502K->18195K(324864K)] 599208K->302672K(1023936K), 0.0302060 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
88.280: [GC [PSYoungGen: 318035K->17596K(324480K)] 602512K->309082K(1023552K), 0.0538840 secs] [Times: user=0.10 sys=0.00, real=0.06 secs] 
88.673: [GC [PSYoungGen: 317436K->22006K(323968K)] 608922K->320515K(1023040K), 0.0795270 secs] [Times: user=0.12 sys=0.00, real=0.08 secs] 
89.231: [GC [PSYoungGen: 321590K->15763K(315392K)] 620099K->322702K(1014464K), 0.0606360 secs] [Times: user=0.15 sys=0.00, real=0.06 secs] 
89.689: [GC [PSYoungGen: 315347K->18137K(324928K)] 622286K->329634K(1024000K), 0.0524650 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
90.103: [GC [PSYoungGen: 318041K->20337K(324480K)] 629538K->340523K(1023552K), 0.0529410 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
90.615: [GC [PSYoungGen: 320241K->17168K(325184K)] 640427K->342561K(1024256K), 0.0389750 secs] [Times: user=0.09 sys=0.01, real=0.03 secs] 
90.987: [GC [PSYoungGen: 317840K->16156K(324992K)] 643233K->347903K(1024064K), 0.0686430 secs] [Times: user=0.09 sys=0.00, real=0.07 secs] 
91.476: [GC [PSYoungGen: 316828K->16681K(325504K)] 648575K->353997K(1024576K), 0.0418160 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
91.913: [GC [PSYoungGen: 317929K->15675K(325248K)] 655245K->359620K(1024320K), 0.0463920 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
92.312: [GC [PSYoungGen: 316923K->19454K(325696K)] 660868K->370277K(1024768K), 0.0482680 secs] [Times: user=0.11 sys=0.00, real=0.05 secs] 
92.795: [GC [PSYoungGen: 321214K->16337K(325568K)] 672037K->373662K(1024640K), 0.0506250 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
93.222: [GC [PSYoungGen: 318097K->16348K(326144K)] 675422K->380017K(1025216K), 0.0823220 secs] [Times: user=0.09 sys=0.00, real=0.08 secs] 
93.639: [GC [PSYoungGen: 318876K->17652K(325888K)] 682545K->387673K(1024960K), 0.0822980 secs] [Times: user=0.11 sys=0.00, real=0.08 secs] 
